[238, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[239, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[240, [-0.04, -0.0, 0.91, -1, 2, 1, 23.24], 0.0664166],
[241, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[242, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[243, [-0.04, -0.0, 0.9, -1, 1, 1, 23.38], 0.0664166],
[244, [-0.04, 0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[245, [-0.04, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[246, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[247, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[248, [-0.04, -0.0, 0.91, -2, 1, 1, 23.38], 0.0664166],
[249, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[250, [-0.04, -0.0, 0.91, -1, 1, 1, 23.38], 0.0664166],
[251, [-0.03, -0.01, 0.91, -2, 2, 1, 23.33], 0.0664166],
[252, [-0.03, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[253, [-0.04, -0.0, 0.91, -2, 1, 1, 23.24], 0.0664166],
[254, [-0.03, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[255, [-0.04, -0.01, 0.91, -2, 1, 1, 23.33], 0.0664166],
[256, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[257, [-0.04, -0.0, 0.9, -2, 1, 1, 23.38], 0.0664166],
[258, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[259, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[260, [-0.04, -0.01, 0.9, -1, 1, 1, 23.24], 0.0664166],
[261, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[262, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[263, [-0.04, -0.0, 0.89, -1, 1, 1, 23.33], 0.0664166],
[264, [-0.04, -0.01, 0.9, -1, 2, 1, 23.28], 0.0664166],
[265, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[266, [-0.03, -0.01, 0.9, -1, 1, 1, 23.38], 0.0664166],
[267, [-0.03, 0.0, 0.91, -2, 1, 1, 23.33], 0.0664166],
[268, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[269, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[270, [-0.04, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[271, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[272, [-0.04, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[273, [-0.04, -0.01, 0.89, -2, 1, 1, 23.28], 0.0664166],
[274, [-0.03, -0.01, 0.9, -2, 1, 1, 23.38], 0.0664166],
[275, [-0.03, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[276, [-0.03, -0.0, 0.91, -1, 1, 1, 23.38], 0.0664166],
[277, [-0.04, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[278, [-0.04, 0.0, 0.9, -1, 1, 1, 23.38], 0.0664166],
[279, [-0.03, -0.01, 0.9, -2, 1, 1, 23.33], 0.0664166],
[280, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[281, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[282, [-0.04, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[283, [-0.04, -0.0, 0.9, -2, 1, 1, 23.38], 0.0664166],
[284, [-0.04, -0.01, 0.9, -1, 1, 1, 23.28], 0.0664166],
[285, [-0.04, -0.0, 0.9, -1, 2, 1, 23.28], 0.0664166],
[286, [-0.03, -0.01, 0.92, -1, 1, 1, 23.24], 0.0664166],
[287, [-0.04, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[288, [-0.03, -0.0, 0.91, -2, 1, 1, 23.28], 0.0664166],
[289, [-0.04, -0.01, 0.91, -2, 1, 1, 23.33], 0.0664166],
[290, [-0.04, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[291, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[292, [-0.04, -0.01, 0.91, -2, 1, 1, 23.33], 0.0664166],
[293, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[294, [-0.03, -0.0, 0.9, -1, 1, 1, 23.24], 0.0664166],
[295, [-0.03, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[296, [-0.03, -0.01, 0.9, -1, 1, 1, 23.42], 0.0664166],
[297, [-0.03, -0.0, 0.91, -1, 1, 1, 23.33], 0.0664166],
[298, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[299, [-0.04, -0.0, 0.91, -1, 1, 1, 23.33], 0.0664166],
[300, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[301, [-0.04, 0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[302, [-0.04, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[303, [-0.04, -0.01, 0.91, -2, 1, 1, 23.38], 0.0664166],
[304, [-0.03, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[305, [-0.03, -0.0, 0.91, -2, 1, 1, 23.38], 0.0664166],
[306, [-0.04, -0.01, 0.91, -2, 1, 1, 23.33], 0.0664166],
[307, [-0.03, -0.0, 0.89, -1, 1, 1, 23.38], 0.0664166],
[308, [-0.04, -0.0, 0.91, -1, 1, 1, 23.28], 0.0664166],
[309, [-0.04, -0.01, 0.9, -2, 1, 1, 23.24], 0.0664166],
[310, [-0.04, -0.0, 0.91, -1, 1, 1, 23.42], 0.0664166],
[311, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[312, [-0.03, -0.01, 0.9, -2, 1, 1, 23.28], 0.0664166],
[313, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[314, [-0.04, -0.0, 0.91, -1, 1, 1, 23.38], 0.0664166],
[315, [-0.04, -0.01, 0.9, -1, 1, 1, 23.42], 0.0664166],
[316, [-0.04, -0.01, 0.9, -1, 1, 1, 23.38], 0.0664166],
[317, [-0.04, -0.0, 0.91, -1, 2, 1, 23.33], 0.0664166],
[318, [-0.04, -0.0, 0.91, -2, 1, 1, 23.42], 0.0664166],
[319, [-0.04, 0.0, 0.9, -2, 1, 1, 23.28], 0.0664166],
[320, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[321, [-0.03, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[322, [-0.03, -0.0, 0.9, -1, 1, 1, 23.28], 0.0664166],
[323, [-0.03, -0.0, 0.9, -1, 1, 1, 23.38], 0.0664166],
[324, [-0.04, -0.0, 0.9, -2, 1, 1, 23.38], 0.0664166],
[325, [-0.04, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[326, [-0.03, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[327, [-0.03, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[328, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[329, [-0.04, -0.0, 0.91, -1, 1, 1, 23.38], 0.0664166],
[330, [-0.04, -0.01, 0.9, -1, 1, 1, 23.38], 0.0664166],
[331, [-0.04, -0.01, 0.91, -2, 1, 1, 23.28], 0.0664166],
[332, [-0.03, 0.0, 0.91, -1, 1, 1, 23.38], 0.0664166],
[333, [-0.03, -0.01, 0.9, -2, 1, 1, 23.38], 0.0664166],
[334, [-0.04, -0.0, 0.91, -1, 1, 1, 23.24], 0.0664166],
[335, [-0.03, -0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
[336, [-0.03, -0.01, 0.91, -1, 1, 1, 23.24], 0.0664166],
[337, [-0.03, -0.01, 0.9, -1, 1, 1, 23.33], 0.0664166],
[338, [-0.04, -0.01, 0.91, -1, 1, 1, 23.28], 0.0664166],
[339, [-0.04, -0.01, 0.91, -1, 1, 1, 23.33], 0.0664166],
[340, [-0.03, -0.01, 0.91, -1, 1, 1, 23.38], 0.0664166],
[341, [-0.03, 0.0, 0.9, -1, 1, 1, 23.33], 0.0664166],
