[298, [-0.01, 0.01, 0.9, -1, 1, 1, 23.52], 0.06760312],
[299, [-0.01, -0.0, 0.9, -1, 1, 1, 23.52], 0.06760312],
[300, [-0.01, 0.0, 0.91, -2, 1, 1, 23.33], 0.06760312],
[301, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[302, [-0.01, 0.01, 0.91, -1, 1, 1, 23.47], 0.06760312],
[303, [-0.01, 0.01, 0.9, -2, 1, 1, 23.47], 0.06760312],
[304, [-0.01, -0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[305, [-0.01, 0.01, 0.9, -1, 1, 1, 23.33], 0.06760312],
[306, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[307, [-0.01, 0.01, 0.91, -1, 1, 1, 23.47], 0.06760312],
[308, [-0.01, 0.01, 0.9, -2, 1, 1, 23.42], 0.06760312],
[309, [-0.0, 0.0, 0.91, -2, 1, 1, 23.42], 0.06760312],
[310, [-0.01, 0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[311, [-0.01, 0.0, 0.91, -1, 1, 1, 23.38], 0.06760312],
[312, [-0.01, 0.0, 0.9, -1, 1, 1, 23.52], 0.06760312],
[313, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[314, [-0.01, 0.01, 0.9, -1, 1, 1, 23.52], 0.06760312],
[315, [-0.01, 0.01, 0.9, -1, 1, 1, 23.38], 0.06760312],
[316, [-0.01, -0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[317, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[318, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[319, [-0.01, -0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[320, [-0.0, 0.0, 0.9, -2, 1, 1, 23.52], 0.06760312],
[321, [-0.01, -0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[322, [-0.01, 0.0, 0.9, -2, 1, 1, 23.47], 0.06760312],
[323, [-0.01, 0.0, 0.91, -1, 1, 1, 23.42], 0.06760312],
[324, [-0.01, 0.0, 0.91, -1, 1, 1, 23.47], 0.06760312],
[325, [-0.02, 0.01, 0.9, -1, 1, 1, 23.42], 0.06760312],
[326, [-0.01, 0.01, 0.9, -1, 2, 1, 23.52], 0.06760312],
[327, [-0.01, 0.0, 0.9, -1, 1, 1, 23.38], 0.06760312],
[328, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
[329, [-0.01, -0.0, 0.9, -1, 1, 1, 23.47], 0.06760312],
[330, [-0.01, 0.0, 0.9, -1, 1, 1, 23.42], 0.06760312],
