[141, [-0.04, -0.0, 0.91, -1, 1, 1, 22.86], 0.06645065],
[142, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[143, [-0.04, -0.0, 0.91, -1, 1, 1, 22.91], 0.06645065],
[144, [-0.04, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[145, [-0.04, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[146, [-0.04, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[147, [-0.03, -0.0, 0.9, -1, 1, 1, 23.05], 0.06645065],
[148, [-0.03, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[149, [-0.03, -0.0, 0.89, -1, 1, 1, 23.71], 0.06645065],
[150, [-0.03, -0.01, 0.91, -1, 1, 1, 23.05], 0.06645065],
[151, [-0.03, -0.0, 0.9, -1, 1, 1, 23.71], 0.06645065],
[152, [-0.04, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[153, [-0.03, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[154, [-0.04, -0.01, 0.9, -1, 1, 1, 23.0], 0.06645065],
[155, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[156, [-0.04, -0.01, 0.9, -1, 1, 1, 23.71], 0.06645065],
[157, [-0.03, -0.0, 0.9, -1, 1, 1, 23.05], 0.06645065],
[158, [-0.03, -0.0, 0.91, -1, 1, 1, 23.0], 0.06645065],
[159, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[160, [-0.04, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[161, [-0.04, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[162, [-0.03, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[163, [-0.03, -0.0, 0.91, -2, 1, 1, 23.09], 0.06645065],
[164, [-0.04, -0.0, 0.91, -1, 1, 1, 23.05], 0.06645065],
[165, [-0.03, -0.0, 0.91, -1, 1, 1, 23.71], 0.06645065],
[166, [-0.03, -0.0, 0.91, -1, 1, 1, 23.05], 0.06645065],
[167, [-0.03, -0.01, 0.9, -1, 1, 1, 23.09], 0.06645065],
[168, [-0.04, -0.01, 0.91, -1, 1, 1, 23.71], 0.06645065],
[169, [-0.04, -0.01, 0.91, -2, 2, 1, 23.05], 0.06645065],
[170, [-0.03, -0.0, 0.91, -1, 2, 1, 23.71], 0.06645065],
[171, [-0.04, -0.01, 0.9, -1, 1, 1, 22.91], 0.06645065],
[172, [-0.03, -0.01, 0.91, -1, 1, 1, 23.0], 0.06645065],
[173, [-0.03, -0.0, 0.91, -2, 1, 1, 22.91], 0.06645065],
[174, [-0.04, -0.01, 0.89, -2, 2, 1, 23.71], 0.06645065],
[175, [-0.03, -0.01, 0.9, -2, 1, 1, 22.91], 0.06645065],
